country;country_code;year_week;age_group;new_cases;population;rate_14_day_per_100k;source
Austria;AT;2022-08;<15yr;32894;1285488;5274.5727692518;TESSy COVID-19
Austria;AT;2022-09;<15yr;40444;1285488;5705.0707591203;TESSy COVID-19
Austria;AT;2022-10;<15yr;50592;1285488;7081.8241788333;TESSy COVID-19
Austria;AT;2022-11;<15yr;49742;1285488;7805.129258305;TESSy COVID-19
Austria;AT;2022-12;<15yr;36274;1285488;6691.3110040701;TESSy COVID-19
Austria;AT;2022-13;<15yr;22011;1285488;4534.0757751142;TESSy COVID-19
Austria;AT;2022-14;<15yr;14418;1285488;2833.8654269818;TESSy COVID-19
Austria;AT;2022-15;<15yr;6373;1285488;1617.3624335661;TESSy COVID-19
Austria;AT;2022-16;<15yr;5933;1285488;957.3018184534;TESSy COVID-19
Austria;AT;2022-17;<15yr;5290;1285488;873.0536574437;TESSy COVID-19
Austria;AT;2022-18;<15yr;5300;1285488;823.8116575184;TESSy COVID-19
Austria;AT;2022-19;<15yr;3983;1285488;722.1382074356;TESSy COVID-19
Austria;AT;2022-20;<15yr;2454;1285488;500.7436864444;TESSy COVID-19
Austria;AT;2022-21;<15yr;1506;1285488;308.0542175423;TESSy COVID-19
Austria;AT;2022-22;<15yr;1711;1285488;250.2551560186;TESSy COVID-19
Austria;AT;2022-23;<15yr;2117;1285488;297.7857436242;TESSy COVID-19
Austria;AT;2022-24;<15yr;3555;1285488;441.233212601;TESSy COVID-19
Austria;AT;2022-25;<15yr;5329;1285488;691.0994112742;TESSy COVID-19
Austria;AT;2022-26;<15yr;6724;1285488;937.6205767771;TESSy COVID-19
Austria;AT;2022-27;<15yr;5605;1285488;959.0910222421;TESSy COVID-19
Austria;AT;2022-28;<15yr;5434;1285488;858.7400271337;TESSy COVID-19
Austria;AT;2022-29;<15yr;4916;1285488;805.1417049401;TESSy COVID-19
Austria;AT;2022-30;<15yr;3745;1285488;673.7519136701;TESSy COVID-19
Austria;AT;2022-31;<15yr;2962;1285488;521.747383095;TESSy COVID-19
Austria;AT;2022-32;<15yr;2957;1285488;460.4477054628;TESSy COVID-19
Austria;AT;2022-33;<15yr;2945;1285488;459.1252504885;TESSy COVID-19
Austria;AT;2022-34;<15yr;2770;1285488;444.5782457713;TESSy COVID-19
Austria;AT;2022-35;<15yr;2686;1285488;424.4302552805;TESSy COVID-19
Austria;AT;2022-36;<15yr;2922;1285488;436.2545585801;TESSy COVID-19
Austria;AT;2022-37;<15yr;4597;1285488;584.914055985;TESSy COVID-19
Austria;AT;2022-38;<15yr;6643;1285488;874.376112418;TESSy COVID-19
Austria;AT;2022-39;<15yr;6851;1285488;1049.7180837161;TESSy COVID-19
Austria;AT;2022-40;<15yr;5756;1285488;980.7170506454;TESSy COVID-19
Austria;AT;2022-41;<15yr;4817;1285488;822.4892025441;TESSy COVID-19
Austria;AT;2022-42;<15yr;3561;1285488;651.7369279215;TESSy COVID-19
Austria;AT;2022-43;<15yr;2077;1285488;438.5883026524;TESSy COVID-19
Austria;AT;2022-44;<15yr;1827;1285488;303.697895274;TESSy COVID-19
Austria;AT;2022-45;<15yr;1836;1285488;284.9501512266;TESSy COVID-19
Austria;AT;2022-46;<15yr;2624;1285488;346.9499520805;TESSy COVID-19
