age;Time;val
00-10;Year 2020 Week 53;129
10-20;Year 2020 Week 53;222
20-30;Year 2020 Week 53;368
30-40;Year 2020 Week 53;332
40-50;Year 2020 Week 53;288
50-60;Year 2020 Week 53;227
60-70;Year 2020 Week 53;140
70-80;Year 2020 Week 53;72
80-;Year 2020 Week 53;71
All ages;Year 2020 Week 53;1849
00-10;Year 2021 Week 01;99
10-20;Year 2021 Week 01;214
20-30;Year 2021 Week 01;484
30-40;Year 2021 Week 01;376
40-50;Year 2021 Week 01;304
50-60;Year 2021 Week 01;236
60-70;Year 2021 Week 01;125
70-80;Year 2021 Week 01;64
80-;Year 2021 Week 01;50
All ages;Year 2021 Week 01;1952
00-10;Year 2021 Week 02;142
10-20;Year 2021 Week 02;211
20-30;Year 2021 Week 02;378
30-40;Year 2021 Week 02;349
40-50;Year 2021 Week 02;277
50-60;Year 2021 Week 02;199
60-70;Year 2021 Week 02;99
70-80;Year 2021 Week 02;58
80-;Year 2021 Week 02;57
All ages;Year 2021 Week 02;1770
00-10;Year 2021 Week 03;174
10-20;Year 2021 Week 03;327
20-30;Year 2021 Week 03;519
30-40;Year 2021 Week 03;468
40-50;Year 2021 Week 03;321
50-60;Year 2021 Week 03;291
60-70;Year 2021 Week 03;148
70-80;Year 2021 Week 03;50
80-;Year 2021 Week 03;56
All ages;Year 2021 Week 03;2354
00-10;Year 2021 Week 04;204
10-20;Year 2021 Week 04;386
20-30;Year 2021 Week 04;680
30-40;Year 2021 Week 04;474
40-50;Year 2021 Week 04;363
50-60;Year 2021 Week 04;317
60-70;Year 2021 Week 04;177
70-80;Year 2021 Week 04;64
80-;Year 2021 Week 04;48
All ages;Year 2021 Week 04;2713
00-10;Year 2021 Week 05;243
10-20;Year 2021 Week 05;379
20-30;Year 2021 Week 05;615
30-40;Year 2021 Week 05;505
40-50;Year 2021 Week 05;388
50-60;Year 2021 Week 05;287
60-70;Year 2021 Week 05;113
70-80;Year 2021 Week 05;46
80-;Year 2021 Week 05;34
All ages;Year 2021 Week 05;2610
00-10;Year 2021 Week 06;257
10-20;Year 2021 Week 06;401
20-30;Year 2021 Week 06;525
30-40;Year 2021 Week 06;454
40-50;Year 2021 Week 06;390
50-60;Year 2021 Week 06;266
60-70;Year 2021 Week 06;150
70-80;Year 2021 Week 06;60
80-;Year 2021 Week 06;51
All ages;Year 2021 Week 06;2554
00-10;Year 2021 Week 07;350
10-20;Year 2021 Week 07;500
20-30;Year 2021 Week 07;748
30-40;Year 2021 Week 07;682
40-50;Year 2021 Week 07;560
50-60;Year 2021 Week 07;405
60-70;Year 2021 Week 07;195
70-80;Year 2021 Week 07;64
80-;Year 2021 Week 07;51
All ages;Year 2021 Week 07;3555
00-10;Year 2021 Week 08;380
10-20;Year 2021 Week 08;507
20-30;Year 2021 Week 08;782
30-40;Year 2021 Week 08;756
40-50;Year 2021 Week 08;645
50-60;Year 2021 Week 08;514
60-70;Year 2021 Week 08;241
70-80;Year 2021 Week 08;118
80-;Year 2021 Week 08;52
All ages;Year 2021 Week 08;3995
00-10;Year 2021 Week 09;511
10-20;Year 2021 Week 09;679
20-30;Year 2021 Week 09;852
30-40;Year 2021 Week 09;810
40-50;Year 2021 Week 09;707
50-60;Year 2021 Week 09;503
60-70;Year 2021 Week 09;236
70-80;Year 2021 Week 09;101
80-;Year 2021 Week 09;55
All ages;Year 2021 Week 09;4454
00-10;Year 2021 Week 10;549
10-20;Year 2021 Week 10;720
20-30;Year 2021 Week 10;1055
30-40;Year 2021 Week 10;939
40-50;Year 2021 Week 10;755
50-60;Year 2021 Week 10;475
60-70;Year 2021 Week 10;263
70-80;Year 2021 Week 10;129
80-;Year 2021 Week 10;59
All ages;Year 2021 Week 10;4944
00-10;Year 2021 Week 11;599
10-20;Year 2021 Week 11;664
20-30;Year 2021 Week 11;943
30-40;Year 2021 Week 11;863
40-50;Year 2021 Week 11;695
50-60;Year 2021 Week 11;530
60-70;Year 2021 Week 11;249
70-80;Year 2021 Week 11;104
80-;Year 2021 Week 11;63
All ages;Year 2021 Week 11;4710
